nama,umur,gender,matkul,sks,nilai,semester,jurusan,ipk,status_lulus
Joko Susilo,21.0,laki,Algoritma,2,64,3,Teknik Komputer,3.56,Lulus
Rahmat Hidayat,19.0,perempuan,Manajemen,4,72,3,Akuntansi,2.92,Lulus
Fikri Ramadhan,21.0,L,Manajemen,4,71,5,Manajemen,3.94,Tidak
Sandy Wijaya,,Pria,Manajemen SDM,3,51,8,Informatika,3.98,Lulus
Claudia Angelina,21.0,cewek,Ekonomi Pembangunan,3,71,5,Teknik Komputer,2.86,Lulus
Putra Mahendra,20.0,perempuan,Machine Learning,4,91,8,Informatika,2.58,Tidak
Doni Saputra,,l,Kepemimpinan,3,96,6,Akuntansi,2.4,Lulus
Dian Puspitasari,21.0,laki,Ekonomi Industri,2,52,5,Teknik Komputer,3.22,Lulus
Tika Rahmawati,18.0,cewek,Akuntansi Manajemen,4,67,4,Sistem Informasi,3.88,Tidak
Doni Saputra,19.0,Pria,Pemrograman,3,58,2,Informatika,2.2,Tidak
Albert Gunawan,21.0,M,Manajemen Keuangan,4,56,4,Sistem Informasi,2.99,Lulus
Angelina Putri,20.0,M,Audit,3,66,4,Sistem Informasi,2.36,Tidak
Fajar Nugroho,19.0,P,Sistem Informasi,3,55,6,Teknik Komputer,3.09,Tidak
Nanda Pratama,22.0,female,Manajemen Produk Digital,4,67,2,Bisnis Digital,2.9,Tidak
Dian Puspitasari,,perempuan,Bisnis Digital,3,80,8,Teknik Komputer,2.65,Tidak
Nabila Zahra,21.0,female,Manajemen SDM,2,89,5,Manajemen,2.78,Tidak
David Setiawan,22.0,L,Statistika,3,74,4,Akuntansi,3.21,Lulus
Steven Santoso,18.0,PEREMPUAN,Data Mining,2,64,5,Informatika,2.15,Lulus
Fikri Ramadhan,18.0,l,Analisis Laporan Keuangan,2,93,8,Teknik Komputer,2.01,Lulus
Fikri Ramadhan,20.0,perempuan,Manajemen Keuangan,2,57,3,Sistem Informasi,3.58,Lulus
Herman Widodo,22.0,laki,AI,3,88,2,Ilmu Ekonomi,2.23,Lulus
